Gene,EOL-1,HEL,Molm-13,MonoMac1,MV4;11,NB-4,OCI-AML2,OCI-AML3,OCI-AML5,P31-FUJ,PL-21,SKM-1,TF-1,THP-1
METTL21D,-0.196,-0.449,-0.196,-0.287,0.202,0.373,-0.233,-0.053,0.078,0.321,-0.376,0.653,-0.068,0.295
METTL23,0.418,-0.627,-0.247,-0.455,-0.108,-0.464,-0.025,-0.277,-0.151,0.013,-0.232,-0.148,-0.766,-0.733
METTL25,0.431,-0.597,-0.051,-0.067,-0.266,-0.126,0.187,-0.017,-0.149,0.21,-0.629,0.242,-0.308,0.424
METTL7B,-0.697,-0.091,-0.664,-0.34,-0.436,-0.276,-0.603,-0.513,-0.609,-0.496,0.248,0.001,0.488,-0.207
MEX3A,-0.128,-0.699,-0.404,-0.316,-0.211,-0.314,-0.666,-0.877,-1.343,-0.129,-0.932,-0.163,-0.557,-0.761
MFAP3,-0.393,0.087,-0.017,0.016,0.251,0.251,0.259,-0.405,-0.096,-0.468,-0.841,-0.389,0.437,-0.176
MFSD1,0.123,-0.113,0.254,-0.729,-0.886,0.059,-0.286,-0.268,-0.562,0.026,-0.333,0.019,-0.209,-0.408
MFSD4,-0.631,0.175,-0.517,-0.459,-0.245,-0.341,-0.666,-0.678,-0.849,-0.581,-0.839,-0.387,-0.935,-1.091
MFSD6,0.349,0.035,-1.435,-0.011,0.004,-0.76,-0.07,0.174,-0.043,-0.183,-0.886,0.204,-0.787,0.221
MGA,2.762,-0.487,1.05,-0.112,0.512,-0.011,-0.353,1.395,-0.661,-0.333,1.199,0.557,-0.558,-0.227
MGAT5B,0.294,0.224,0.563,0.063,0.288,-0.073,0.114,-0.456,-0.123,-0.294,-0.476,0.014,-0.519,0.063
MGLL,-0.374,-0.615,-0.151,-0.147,-1.128,-0.562,-0.549,-0.003,-0.69,-0.285,-0.577,-0.261,-0.424,0.141
MGRN1,-0.226,-0.087,-0.782,-0.337,-0.987,-0.081,-0.232,-0.252,-0.612,-0.117,-0.603,-0.621,-0.834,0.21
MICA,-0.297,0.136,-0.759,-0.221,-0.419,0.04,-0.242,-0.185,0.111,0.168,-0.19,-0.708,-0.856,-0.194
MID1IP1,0.031,0.307,0.728,-0.007,0.074,0.059,0.487,-0.147,0.302,-0.252,0.456,-0.245,-0.841,-0.237
MIER1,0.194,-0.216,1.061,-0.533,0.431,0.018,0.269,0.22,0.057,0.063,0.49,-0.215,-0.173,0.336
MIER2,-0.273,-0.355,-0.705,-0.466,-0.418,0.012,0,0.206,-1.015,-0.27,0.385,0.109,0.375,0.114
MIIP,-0.342,-0.542,-1.149,0.102,-0.385,-0.264,-0.717,-0.467,-0.498,-0.359,-0.876,-0.838,-0.925,-0.618
MISP,-0.738,0.278,-0.58,-0.222,-0.436,-0.094,-0.034,-0.387,-0.633,-0.292,-0.287,-0.852,0.197,-0.235
MIXL1,-0.343,-0.224,0.232,-0.499,0.528,0.416,-0.332,-0.357,0.032,0.127,-0.009,-0.764,-0.679,-0.875
MKI67,-1.386,-0.275,-0.831,-0.485,-0.155,-0.794,-0.329,-0.437,-0.286,-0.383,-0.808,-0.7,-0.716,-0.877
MKLN1,-0.628,0.193,0.061,-0.332,0.318,-0.063,0.565,-0.232,-0.133,-0.648,-0.112,-0.223,-0.952,-0.446
MKNK1,-0.497,-0.415,-1.309,-0.139,-0.005,-0.158,-0.505,-0.657,-0.674,-0.549,-0.521,-0.306,-0.956,-0.594
MLF1IP,-0.282,-0.606,-0.973,0.07,-0.594,0,-0.208,-0.593,-0.029,-0.235,-0.103,0.121,-0.837,-1.268
MLLT10,0.377,0.135,-1.01,-0.316,-0.078,0.775,0.234,0.228,0.344,-0.24,0.019,0.536,0.287,0.416
MLLT3,0.026,-1.58,-0.363,-0.726,-0.052,-0.484,0.264,-0.027,0.262,0.117,0.003,-0.054,0.249,-0.568
MLLT4,-0.567,-0.073,-0.397,-0.377,0.014,-0.04,-1.518,-0.52,-0.371,-0.271,-0.438,0.425,-0.673,-0.124
MMD,0.014,-0.994,-0.45,-0.451,-0.177,-0.3,-0.48,-0.855,-0.144,-0.206,-0.287,-0.936,-0.406,-1.554
MMP20,0.146,-0.317,-0.496,-0.101,-0.168,-0.338,-0.333,-0.016,-0.54,-0.7,-0.876,0.063,-0.897,-0.556
MMP28,-0.514,-0.036,-0.518,0.432,-0.098,-0.84,-0.026,-0.313,-0.361,-0.072,-0.255,-0.676,0.167,-0.162
MORC2,1.985,0.189,-0.357,0.62,-0.345,-0.261,0.037,1.187,-0.731,-0.165,0.791,-0.808,-0.587,-0.451
MORC3,0.168,-0.717,0.056,-0.337,0.271,-0.136,0.218,-0.178,0.426,0.192,-0.234,0.066,0.111,-0.533
MOS,-0.126,0.216,-1.153,-0.192,-0.663,-0.39,-0.459,-0.324,-0.713,-0.003,-0.803,-0.329,-0.732,0.339
MOSPD2,0.221,0.469,0.153,-0.214,0.017,0.463,0.344,0.584,0.477,0.125,-0.483,0.064,0.835,-0.018
MOXD1,-0.087,-0.562,-0.754,-0.342,-0.54,0.147,-0.337,-0.496,0.01,-0.384,0.145,0.342,-0.416,-0.449
MPC2,0.452,0.164,0.079,-0.156,0.407,0.175,0.13,-0.809,0.632,0.348,0,0.638,0.68,0.328
MPO,-0.131,-0.936,-0.379,0.134,-0.475,-0.432,-0.502,-0.364,-0.637,-0.303,0.454,0.245,-0.879,-0.489
MPP6,-0.173,-0.344,-0.746,-0.093,-0.034,-0.473,-0.613,-1.28,-0.287,0.329,-0.735,-0.773,-0.052,-0.016
MPRIP,-0.179,-0.699,0.016,-0.136,-0.342,-0.313,-0.471,0.139,-0.687,-0.212,-0.636,-0.021,-1.202,0.141
MPZ,0.121,0.161,0.097,-0.437,-0.352,0.195,-0.135,-0.827,-0.646,0.144,-0.491,-0.201,-0.056,0.357
MPZL3,-0.375,-0.879,-0.011,-0.133,0.053,0.397,-0.572,0.005,-0.115,-0.223,-0.205,0.137,-0.114,0.2
MRAP,-0.099,-0.999,0.138,-0.031,-0.126,-0.134,-0.052,-0.057,-0.508,-0.133,0.299,-0.254,-0.532,0.014
MRC2,-0.181,-0.655,0.286,0.16,-0.302,0.221,-0.174,0.212,0.084,-0.104,-1.157,0.016,-0.832,0.353
MS4A15,-0.611,-0.318,0.096,-0.576,-0.018,-0.837,-0.45,-0.209,-0.059,0.048,-0.853,-0.682,0.15,-0.276
MSANTD2,-0.404,-1.135,-0.336,-0.383,-0.47,-0.478,-0.404,0.055,-0.993,-0.114,-0.637,0.035,-0.531,-0.27
MSH3,-0.142,-0.143,-0.491,-0.062,0.056,0.34,-0.263,-0.402,0.514,0.401,0.221,0.224,-0.351,-0.477
MSH4,0.177,-0.175,-0.329,-0.051,0.055,-0.252,-0.231,-0.142,-0.134,-0.065,-0.732,-0.124,-1.184,-0.065
MSL1,-0.677,-0.809,-0.694,-0.325,-1.068,-0.314,-0.587,-0.812,0.014,-0.306,0.138,-0.439,-0.965,-0.907
MSL2,-0.161,-0.132,-0.61,0.061,-0.795,-0.116,0.455,0.042,-0.06,0.453,-0.061,0.047,-0.03,-0.374
MSL3,-0.838,0.378,-0.017,-0.158,0.247,0.312,-0.455,-0.106,0.358,0.145,0.106,-0.308,0.274,-0.243
MSMO1,0.056,0.347,-0.44,-0.711,-0.205,-0.105,0.119,-0.37,0.016,0.38,-0.332,-0.248,0.275,-0.524
MSN,-0.1,-0.153,-0.26,-0.214,0.351,-0.054,0.098,0.32,0.722,-0.159,0.513,0.751,-0.27,-0.047
MSR1,-0.224,0.318,0.047,-0.03,0.315,-0.149,0.555,-0.183,0.246,0.163,-0.775,-0.06,0.769,0.046
MST1L,0.219,-0.439,-0.861,-0.325,-0.616,-0.118,-0.356,-0.447,-0.879,-0.279,-0.625,-0.901,-0.297,-1.094
MT1F,0.053,-0.123,-1.221,-0.513,-0.062,-0.111,-0.68,-0.262,-0.432,-0.548,-0.19,-0.225,0.063,-0.435
MTA1,-0.554,-0.142,-0.564,-0.088,-0.534,0.039,-0.069,-0.514,0.391,-0.355,-0.293,0.296,-1.27,-0.604
MTAP,0.001,0.434,-0.152,-0.338,-0.105,0.631,-0.302,0.026,-0.148,0.096,-0.843,-0.05,-0.291,0.274
MTF2,0.468,-0.019,0.928,-0.863,0.692,0.486,0.452,0.096,-0.379,-0.061,0.348,0.077,-0.23,0.527
MTHFD1L,-0.684,-0.975,-1.085,0.204,-0.543,-0.645,-0.55,-0.758,-0.799,0.205,-0.615,0.116,-0.432,-0.213
MTHFR,-0.048,0.207,-0.081,-0.25,-0.237,-0.189,-0.203,-0.314,-0.333,-0.021,-0.047,-0.474,0.847,0.398
MTIF3,-0.964,-0.406,0.235,-0.251,-0.952,0.075,-0.467,-0.146,-0.344,-0.432,-0.49,0.107,-0.088,-0.138
MTMR3,-0.387,-0.652,-1.222,-0.303,-0.209,-0.456,-0.665,-0.343,-0.86,-0.551,-0.022,-0.772,-0.725,-0.972
MTMR9,0.223,-0.042,-0.949,0.061,-0.34,-0.213,-0.212,0.073,-1.316,-0.181,-0.515,-0.057,-0.319,-0.886
MXRA8,-0.126,-0.005,-0.763,-0.388,-0.677,0.086,0.141,-0.435,-0.556,-0.276,-0.359,-0.342,-1.017,-0.827
MYBL1,-0.101,0.103,-1.03,-0.032,-0.345,-0.25,-0.071,-0.036,-0.533,-0.221,-0.39,0.379,-0.281,-0.004
MYBPC3,-0.919,0.149,0.175,-0.488,-0.222,-0.03,-0.036,-0.584,-0.061,0.104,-0.54,0.085,-0.066,-0.514
MYCN,-0.005,-0.309,-0.321,-0.31,0.088,-0.496,-0.2,0.03,-0.808,0.134,-0.071,-0.202,-1.103,-0.104
MYH10,0.214,-0.539,-0.144,-0.62,-0.168,-0.19,0.17,-0.398,-0.069,-0.078,-0.639,0.319,-0.684,-0.437
MYH14,-0.672,0.138,-0.46,-0.022,-0.75,-0.179,-0.031,-0.549,-0.443,-0.037,-0.659,0.067,-0.72,-0.13
MYH2,0.284,-0.531,-0.799,0.431,-0.383,-0.711,-0.217,-0.485,-0.582,-0.6,-0.218,-0.267,-0.066,-0.051
MYL6,-0.17,-0.064,0.006,0.25,-0.097,-0.321,0.077,0.011,0.389,-0.043,-1.02,-0.216,-0.234,0.451
MYO1F,-0.042,-0.655,-0.981,0.025,-0.653,-0.798,-0.565,-0.341,-1.297,-0.367,-0.234,-0.425,-0.677,-0.631
MYO5A,-0.398,-0.449,-1.3,-0.404,-0.485,-0.387,0.252,-0.259,-0.003,-0.583,-0.112,-0.244,-0.686,-0.201
MZT1,-0.887,-0.966,-0.846,-0.705,-0.431,-0.295,-0.16,-0.785,-0.6,-0.906,0.022,-0.942,-0.917,-0.291
N4BP2L2,-0.067,0.394,-1.082,0.031,0.064,0.389,-0.119,-0.121,0.194,-0.278,-0.491,-0.159,-0.249,0.369
NADK,-0.982,-0.22,1.065,-1.014,0.158,0.334,-0.579,-0.693,-0.722,-0.51,-0.602,-0.154,-0.426,-0.317
NANP,-0.547,0.041,-0.635,-0.879,-0.802,0.194,0.123,0.427,-0.22,-0.044,0.206,0.151,-1.007,0.492
NANS,-0.313,-0.528,-0.435,-0.996,0.139,0.665,-0.039,-0.413,-0.226,0.074,0.477,0.939,-0.896,0.685
NAP1L2,0.73,0.097,-0.558,0.254,0.347,-0.193,0.389,-0.77,0.744,0.021,0.078,0.484,0.348,0.283
NAT16,-0.142,0.211,-0.692,-0.265,-0.133,-0.03,0.011,-0.217,-0.111,-0.112,-1.037,0.125,-0.055,-0.036
NAT8L,-0.657,-0.033,-0.071,-0.108,-0.291,-0.428,0.411,-0.625,-0.912,0.126,-0.343,0.038,0.344,-0.34
NBEAL2,-0.702,0.772,-0.18,0.06,-0.203,-0.365,0.012,-0.787,-0.944,-0.343,-0.881,0.241,-0.049,-0.445
NBPF9,-0.17,-0.652,-0.434,-0.386,-0.205,-0.275,-0.398,-0.67,-0.831,-0.018,-0.246,-0.361,-0.338,-1.41
NCAM1,-0.511,0.203,-0.39,-0.161,0.207,-0.18,-0.504,0.041,0.012,-0.068,-0.986,-0.023,-0.351,-0.132
NCK2,-0.147,0.081,0.068,-0.219,-0.235,-0.333,-0.497,-0.59,0.384,-0.168,-0.822,-0.421,-0.316,-0.821
NCOA4,0.05,-0.652,0.344,-0.042,-0.257,-0.263,0.308,-0.376,0.006,-0.154,0.267,-0.003,-0.648,0.37
NCOA6,0.539,-1.125,-0.159,-0.676,-0.117,-0.513,-0.089,-0.325,-0.145,-0.068,-0.539,0.302,0.259,0.07
NDEL1,-0.485,-0.692,-0.339,0.109,-0.034,0.186,0.346,0.198,-0.047,-0.394,-0.232,0.158,-0.949,-0.07
NDRG1,-0.082,-0.053,-1.188,0.222,-0.571,-0.135,-0.114,-0.538,-0.449,0.151,-0.391,-0.271,-0.476,-0.32
NDUFA10,-0.729,-0.51,0.48,-0.585,-0.737,0.101,-0.288,-0.848,-0.497,-0.927,0.027,0.218,-0.165,-1.034
NDUFA3,-0.579,-0.074,0.241,-0.598,-0.813,-0.42,-0.424,-0.673,-0.589,-0.254,0.051,0.484,0.167,-0.627
NDUFA4,-0.807,-0.472,0.057,-0.043,-0.551,-0.299,-0.709,0.588,-0.823,-0.896,0.063,-0.064,-0.399,-0.245
NDUFA5,-0.693,-0.996,0.285,-0.736,-0.755,-0.014,-0.504,-0.678,-0.588,-0.672,0.182,0.044,-0.594,-0.361
NDUFA7,-0.604,-0.726,-0.901,-0.282,-0.881,-1.445,-0.622,-0.984,-0.969,-0.775,-0.56,-0.589,0.147,-0.09
NDUFAF4,-0.909,-0.47,-0.188,-0.305,-1.09,0.129,-0.413,-0.757,-0.744,-0.649,-0.383,0.368,0.231,-0.358
NDUFV2,-1.107,-0.185,0.041,-0.2,-0.606,0.037,-0.39,-0.51,-0.326,-0.503,0.072,0.397,0.25,-0.358
NEDD4L,-0.51,0.507,-0.041,-0.034,-0.257,-0.005,-0.253,-0.778,-0.255,-0.163,-0.628,-0.675,-0.403,-0.009
NEK5,-0.649,-0.037,-0.49,0.282,-0.326,-0.015,0.101,0.187,0.089,-0.656,-0.922,-0.499,-0.361,-0.235
NEK9,0.604,0.329,0.152,-0.178,0.336,0.291,-0.375,-0.018,-0.007,0.179,-0.659,0.127,-0.159,-0.275
NEURL4,-0.296,-0.621,-0.139,-0.564,0.3,-0.649,-0.235,-0.052,-0.53,-0.329,-0.279,0.096,-1.153,-0.632
NEUROG3,-0.288,-0.339,0.039,0.382,0.369,-0.467,0.277,-0.098,-0.182,-0.1,-0.31,0.051,-0.544,0.43
NF1,0.086,0.545,-0.665,0.924,0.29,-0.166,0.076,0.552,0.765,0.555,0.277,1.515,0.342,1.017
NFASC,-0.164,-0.486,-0.545,-0.363,-0.396,0.479,-0.854,-0.078,-1.198,-0.315,-0.254,-0.362,-0.396,-0.212
NFATC3,-0.534,-0.191,0.208,0.134,-0.011,-0.82,-0.424,-0.053,-0.078,-0.168,0.183,0.225,-0.866,0.22
NFATC4,-0.985,-0.392,-0.519,-0.926,-0.225,-0.168,-0.472,-0.146,-0.675,-0.877,-0.567,0.205,-0.611,-0.175
NFIL3,-0.281,0.156,-0.279,0.511,-0.184,0.091,-0.388,-0.318,0.291,0.308,0.878,-0.034,0.388,0.233
NFKB2,-0.826,-0.838,-1.223,-0.134,-0.905,-0.95,-0.472,0.031,-0.564,-0.546,-0.825,-0.477,-0.991,0.201
NFYB,-0.575,-0.633,-1.141,-0.773,-0.799,-0.193,-0.4,-0.112,-0.407,-0.233,-0.218,0.023,-0.879,-0.426
NHLH1,-0.121,0.094,0.564,0.208,0.246,0.337,0.102,-0.131,-0.072,0.183,-0.77,0.08,0.424,-0.281
NID1,-0.261,-0.182,-0.448,-0.05,-0.351,0.308,-0.462,-0.221,-1.037,0.05,-0.796,-0.431,-0.834,-0.236
NID2,-0.007,-0.526,-0.08,-0.355,0.038,-0.371,-0.04,0.114,-1.115,0.095,-0.725,-0.022,-0.324,-0.741
NISCH,-0.898,-0.701,-0.77,-0.646,-0.716,-0.455,-0.688,-0.191,-0.978,-0.299,-0.29,-0.665,-1.547,-0.689
NKAPL,-0.19,0.162,-1.289,0.073,-0.519,0.249,-0.677,-0.307,-0.103,-0.317,0.111,-0.674,-0.409,-0.111
NKX2-1,0.42,-0.042,-0.662,0.253,0.143,0.176,0.13,0.085,-0.421,-0.061,-0.1,0.528,0.27,-0.308
NKX2-2,-0.019,0.182,-0.998,-0.573,0.192,0.022,-0.173,-0.028,-0.289,-0.441,-0.499,-0.24,-0.777,-1.154
NKX3-1,-0.239,-0.347,-0.913,0.228,-0.144,-0.77,-0.387,-0.349,-0.809,-0.117,-0.852,-0.067,-1.533,-0.756
NKX6-3,-0.623,-0.077,-0.639,0.13,-0.422,0.144,-0.633,0.276,-0.715,-0.008,-0.087,0.216,-0.785,0.098
NMI,0.452,-0.025,0.033,0.273,0.332,0.272,0.075,-0.574,-0.391,-0.277,-0.582,-0.048,0.096,-0.562
NMRK2,-0.351,-0.234,-0.677,-0.362,-1.047,0.046,-0.243,-0.445,-0.762,-0.29,0.234,-0.042,-0.515,0.096
NMUR1,-0.262,-0.003,-0.42,0.128,0.051,-0.666,0.465,-0.364,0.022,0.281,-0.38,0.297,-0.138,0.239
NOA1,-0.453,-0.576,0.414,-0.226,-0.853,-0.296,-0.658,-0.706,-0.429,-0.654,-0.305,0.056,0.029,-0.267
NOTO,0.172,-0.461,0.317,0.143,0.383,-0.263,-0.016,-0.648,-0.181,0.151,-0.563,-0.367,-0.247,-0.75
NOV,-0.815,0.063,-0.683,0.254,-0.603,-0.549,-0.071,-0.168,-0.301,0.031,-0.916,-0.118,-0.464,-0.393
NPAP1,0.262,-0.318,-0.478,-0.217,-0.269,-0.55,-0.38,-0.574,-0.495,0.075,-0.621,0.09,0.232,0.232
NPBWR1,-1.381,0.084,-0.705,0.019,-0.117,-0.204,-0.292,0.02,-0.281,0.084,-0.51,-0.599,-0.128,-0.05
NPC1,0.224,0.315,-0.142,0.236,0.556,0.658,-0.122,0.197,-0.255,-0.087,0.339,-0.611,0.02,0.885
NPEPPS,0.09,-0.17,0.551,0.163,-0.112,-0.331,0.364,0.719,-0.095,-0.071,-0.429,0.204,-0.435,-0.11
NPHS1,-0.482,-0.271,-0.387,-0.048,-0.925,-0.392,-0.572,-0.071,-0.748,-0.381,-0.177,-0.585,-1.485,-0.106
NR1H2,-0.432,-0.459,-0.924,0.041,-0.547,-0.473,-0.207,-0.202,-0.314,0.085,-0.192,0.098,-1.007,-0.041
NR2C2,0.014,-0.166,0.353,0.324,0.698,-0.488,0.423,-0.286,0.202,0.103,0.174,0.332,0.436,0.57
NR2E1,0.304,0.154,-0.817,0.369,-0.542,-0.082,-0.226,-0.299,-0.424,-0.549,-0.36,0.06,-0.699,-0.292
NSMAF,-0.556,0.112,-0.908,0.165,-0.125,-0.143,-0.072,-0.5,-0.007,0.289,-0.172,0.28,-0.156,-0.192
NSUN2,-0.77,0.305,-0.453,0.006,-0.003,-0.386,-0.332,-0.637,0.207,-0.138,-0.17,0.078,0.214,-0.276
NTSR2,-0.603,0.105,-0.653,-0.149,-0.116,-0.417,0.002,-0.447,-0.378,-0.16,-0.621,-0.379,-1.206,-0.506
NUCB1,-0.238,0.28,-1.077,-0.135,-0.543,0.193,-0.131,-0.43,-0.813,-0.279,-0.467,-0.311,0.025,-0.381
NUDCD2,0.297,-0.518,0.095,-0.272,0.233,-0.315,0.205,-0.082,-0.316,-0.946,0.291,-0.108,-0.282,-0.706
NUDT16L1,-0.39,-0.372,-1.28,-0.332,-0.625,-0.403,0.161,-0.255,-0.047,0.004,-0.436,-0.049,0.196,0.076
NUMB,-0.336,-0.83,-0.152,-0.224,0.241,-0.501,-0.765,-0.578,-0.929,-0.9,-0.176,-0.316,-1.244,-0.682
NUP35,-0.619,-0.783,0.141,-0.375,-0.294,-0.11,-0.348,-0.507,-0.358,-0.15,0.216,-0.447,-0.16,-1.43
NUP62CL,0.21,0.392,0.19,-0.002,0.189,-0.143,0.536,0.162,0.581,0.428,-0.843,0.581,0.019,-0.141
OAS3,0.306,-0.072,0.019,-0.566,0.304,-0.839,0.031,0.033,-0.133,0.206,-0.318,0.176,0.349,0.171
OCEL1,-0.396,-0.885,-0.515,-0.076,-0.216,-0.206,-0.398,-0.185,-0.656,-0.239,0.283,-0.355,-0.994,-0.082
OFD1,-0.136,0.42,0.227,-0.205,0.467,0.008,0.419,-0.081,0.563,0.414,-0.324,0.273,0.798,-0.166
OGFOD2,-0.536,-0.74,-0.694,0.133,-0.545,-0.437,-0.003,-0.428,-0.524,-0.046,-0.586,0.004,0.263,-0.134
OGFRL1,-0.329,-0.004,0.049,-0.32,-0.409,-0.318,-0.832,-0.678,0.396,-0.595,-0.619,-0.219,-0.496,-0.754
OLA1,-0.067,-0.156,-0.455,-0.504,-0.1,0.215,-0.106,-0.276,-0.998,-0.003,0.021,-0.475,-0.977,-0.154
OLIG1,-0.076,-0.915,-0.392,-0.427,0.194,-0.062,-0.239,-0.817,-1.075,-0.078,-0.356,0.134,-0.296,-0.256
ONECUT2,0.297,-0.49,-0.086,0.565,-0.246,0.323,-0.254,-0.091,-0.443,0.124,0.036,-0.144,-0.604,0.25
OPN3,-0.602,0.406,0.573,0.186,-0.088,0.034,0.153,0.199,0.181,0.319,-0.467,0.037,-0.357,-0.014
OPTC,-0.025,-0.06,-0.344,-0.406,-0.493,-0.301,-0.59,-0.219,-0.74,-0.136,-0.388,-0.071,-1.13,-0.83
ORMDL1,0.234,-0.089,0.414,0.496,0.377,0.134,0.362,-0.232,0.407,0.19,-0.11,0.46,-0.675,0.391
OSBPL11,-0.208,-0.677,-0.168,-0.224,-0.161,-0.325,-0.21,0.135,-0.277,-0.25,-0.801,-0.722,0.291,-0.836
OSBPL9,0.141,-0.413,-0.065,-0.199,-0.142,0.034,0.127,-0.569,-0.09,-0.06,-0.111,-0.867,-0.917,-0.557
OSR2,-0.212,-0.043,-1.127,-0.061,-0.623,-0.537,-0.061,-0.352,-0.199,-0.023,-0.342,-0.115,-0.348,0.325
OSTM1,-0.174,0.019,0.044,-0.01,0.129,0.116,-0.177,-0.235,-0.336,0.5,-0.745,0.191,0.161,-0.569
OTUB1,0.066,-0.537,-0.386,0.095,0.367,-0.703,-0.663,-0.065,-0.523,0.256,-0.038,0.066,-1.393,0.618
OTUD6B,0.035,0.16,-1.226,-0.469,-0.568,0.362,-0.058,-0.588,-0.798,-0.283,-0.193,0.307,-0.571,-0.391
P4HB,0.184,-0.862,0.077,-0.544,-0.594,-0.053,-0.325,-0.062,0.123,0.078,-0.396,-0.39,-1.206,-0.072
PA2G4,-0.175,-0.585,-1.151,-0.943,-0.707,-0.308,-0.321,0.467,-0.301,-0.157,-0.611,0.49,0.027,-0.454
PABPC1L,-0.379,-0.353,-0.472,0.049,-0.668,-0.098,-0.329,0.104,-0.152,-0.184,-1.133,-0.243,-0.284,-0.893
PABPC5,-0.783,0.575,0.561,-0.237,0.466,-0.392,-0.092,-0.442,0.616,0.066,-0.134,-0.393,0.394,0.027
PACSIN3,-0.632,-0.214,-0.583,0.194,-0.457,0.294,-0.069,-0.031,-0.259,-0.33,-0.018,0.037,-1.435,-0.035
PAG1,-0.351,0.22,-1.127,-0.015,0.003,0.032,-0.222,0.171,-0.081,-0.052,0.03,0,-0.698,-0.123
PAK4,-0.515,-0.623,-0.667,0.103,-0.771,-0.355,-0.061,-0.397,-0.616,-0.475,0.668,-0.291,-0.256,-0.487
PAN2,-0.686,-0.325,-0.444,-0.812,0.035,-0.932,-0.762,-0.099,-0.289,-0.177,0.669,0.236,-0.654,-0.413
PAN3,-0.251,-0.995,-1.302,-0.606,-0.446,-0.77,-0.544,-0.32,0.069,-0.954,0.361,0.358,-0.301,-0.554
PANK1,0.134,-0.629,-0.064,0.094,-0.205,-0.127,0.193,0.054,0.193,0.365,-1.248,-0.07,-0.386,0.077
PANK4,1.6,-0.478,-0.539,0.585,0.002,-0.386,0.144,0.855,-0.415,0.297,0.047,0.116,-1.035,-0.412
PANX3,-0.157,-1.113,0.052,-0.043,0.186,-0.191,0.231,0.406,-0.561,-0.179,-0.091,0.468,-0.757,-0.138
PAOX,-0.093,-0.051,-0.477,-0.507,-0.362,-0.586,-0.716,-0.836,-0.963,-0.162,-1.044,-0.867,-0.32,-0.299
PAQR8,-0.878,-0.826,-0.029,0.081,0.018,0.145,-0.653,-0.31,-0.597,0.188,-0.239,-0.253,-0.998,0.353
PARL,-0.451,-0.354,0.499,0.01,0.276,0.429,-0.434,-0.26,0.038,-0.458,-0.293,-0.072,-1.318,-0.792
PARP6,0.189,-0.714,-0.991,-0.11,-0.381,-0.259,-0.183,0.01,-0.068,-0.182,-0.85,-0.075,-0.634,-0.07
PATL1,-0.299,-0.308,0.484,-0.411,-0.338,-0.132,0.035,0.207,-0.004,0.036,0.144,0.457,-0.671,-0.016
PAX4,-0.744,-0.255,-0.921,-0.482,-0.207,0.002,-0.137,-0.316,-0.866,-0.752,-0.107,-0.507,-0.822,-0.779
PBRM1,0.239,-0.805,-0.551,-0.526,-0.763,0.208,-0.164,0.161,-0.332,-0.854,-0.421,-0.98,-1.884,-0.253
PBX3,0.031,0.335,-0.726,-0.676,-0.52,0.001,-0.159,-0.435,0.265,-0.07,-0.193,0.14,0.364,-0.309
PCCB,-0.237,-0.371,0.585,-0.473,-0.054,-0.207,-0.259,-0.412,0.221,-0.035,-0.911,-0.054,0.092,0.291
PCDHGA4,-0.639,-0.048,-0.888,0.344,-0.114,-0.256,-0.228,-0.039,-0.554,-0.538,-0.121,-0.236,-0.371,-0.761
PCDHGA9,-0.203,0.406,0.138,-0.3,-0.274,-0.713,-0.347,-0.63,0.227,0.095,-0.708,-0.438,0.058,-0.35
PCGF1,-0.207,-0.309,1.377,-0.795,0.892,0.252,-0.517,-0.852,-0.553,0.196,1.613,0.078,-0.615,-0.992
PCGF3,-0.565,0.451,0.072,-0.678,-0.083,-0.53,0.889,-1.029,-0.266,-0.015,-0.222,-0.251,-0.127,-0.365
PCGF5,0.081,0.697,0.301,-0.207,0.435,-0.042,0.786,-0.218,0.687,0.35,0.145,-0.073,0.321,0.134
PCIF1,0.241,0.342,-0.167,0.28,0.106,0.141,0.159,0.244,-0.528,0.004,-1.258,-0.418,-0.504,-0.218
PCK1,-0.291,-0.196,-1.323,-0.57,-0.387,-0.726,-0.434,0.039,-0.617,-0.535,-0.374,-0.808,-0.28,-0.233
PCK2,-0.393,-0.277,-0.758,-0.029,-0.429,-0.525,-0.651,-0.352,-0.98,-0.976,-0.863,0.188,-0.563,-0.197
PCMT1,-0.464,-0.083,-0.877,-0.234,-0.13,-0.426,-0.257,-0.767,-0.046,0.158,-0.845,0.217,-0.152,-0.545
PCNP,-0.975,-0.723,-1.408,-0.647,-0.478,-0.685,-0.337,-0.686,-0.515,-0.536,-0.509,-0.317,0.036,-0.46
PCSK4,-0.656,-0.249,-0.75,-0.243,-0.782,-0.21,-0.457,0.084,-1.145,-0.439,-0.357,-0.147,-0.269,0
PCSK9,-0.041,-0.782,-0.338,-0.102,-0.019,-0.277,-0.083,-0.168,-0.789,-0.032,-0.561,-0.323,-1.309,-0.153
PDCD5,-0.596,0.072,-0.736,-0.322,0.072,-0.585,0.165,0.353,-0.655,-0.202,-0.19,-0.805,-0.091,0.359
PDE3A,-0.289,-0.884,-0.885,0.109,-0.623,-1.356,-0.477,-0.127,-0.455,-0.825,-0.395,-0.505,-0.225,-0.277
PDE7A,-0.634,0.417,-2.037,-0.743,-1,-0.045,-0.389,-0.727,-0.014,0.118,-0.443,-0.736,-0.19,-0.714
PDHA1,0.459,0.435,0.596,0.196,0.324,0.008,0.451,-1.243,1.088,0.336,-0.216,0.292,1.084,0.26
